,seed_45,seed_45,seed_359,seed_359,seed_6185,seed_6185
,x_index,y_value,x_index,y_value,x_index,y_value
iteration,,,,,,
0,171,7.597113193333333,238,12.597564643333335,211,15.610606281666664
1,227,13.802645891666666,304,3.9097808416666666,283,14.756892436666666
2,517,10.831406386666666,562,13.987959103333333,324,10.050488206666666
3,128,14.09003603,191,3.247469321666667,89,9.686588248333335
4,61,7.096302795,236,6.761353781666667,35,0.646878865
5,592,9.374178001666666,342,11.391447413333333,565,12.696766368333334
6,350,1.5405647466666668,238,12.597564643333335,355,13.93177411
7,234,1.2080103366666666,46,6.8853735050000004,240,13.70747124666667
8,196,10.6427745,90,1.3244131799999999,156,8.225301221666667
9,400,12.77297074,347,7.246353881666667,380,13.380650821666668
10,110,15.981248530000002,391,28.149431766666666,226,26.531542926666663
11,77,15.62259188,394,30.164995169999997,241,19.219098926666668
12,92,17.22007130333333,409,28.183479313333333,244,23.74182856
13,125,18.424019883333333,412,25.736563946666664,259,27.131641623333334
14,107,17.52145245666667,406,31.28650319,277,26.493430380000003
15,140,23.749838583333332,403,23.42501692,292,22.703732953333333
16,122,23.804984556666668,388,19.051342860000002,262,25.610234970000004
17,137,16.672636428333334,424,24.18388883,280,26.444192583333336
18,89,9.686588248333335,427,21.533086086666668,265,27.300286456666665
19,290,27.52346839333333,397,28.272887656666665,298,21.87843911
20,440,20.287161226666665,415,16.010930738333332,247,23.774167450000004
21,275,29.801234363333332,379,30.34631392333333,295,22.705607036666667
22,272,19.72114628,376,32.16856937,274,27.749237006666664
23,425,25.58472716,361,27.85533168666667,256,18.258871833333334
24,407,36.74406403999999,364,34.74357816,232,31.469240709999998
25,257,20.854817213333334,382,28.344689513333336,229,32.13401301
26,575,5.936003071666666,346,24.401202636666667,214,24.621344133333338
27,293,20.72057254666667,373,23.172903166666668,199,22.546174563333334
28,422,35.057336193333335,349,3.9458452083333335,115,19.017679643333334
29,389,16.21079940333333,358,20.369206883333334,196,10.6427745
30,287,22.74457116666667,421,29.69175331,289,22.60253512
31,437,39.7673149,439,21.065828063333335,397,28.272887656666665
32,419,23.272334606666664,436,24.271819343333334,412,25.736563946666664
33,434,30.803234876666664,418,23.849923819999997,415,16.010930738333332
34,284,17.668565843333333,433,28.04539886666667,394,30.164995169999997
35,404,20.500408406666665,400,12.77297074,409,28.183479313333333
36,269,15.971998163333334,442,19.966857143333332,427,21.533086086666668
37,587,31.53206625,343,14.288516783333334,379,30.34631392333333
38,584,41.57314338,529,38.20665553,382,28.344689513333336
39,569,40.013243276666664,526,36.46600600333334,364,34.74357816
