,AgNP_dataset.csv,AutoAM_dataset.csv,CrossedBarrel_dataset.csv,P3HT_dataset.csv,Perovskite_dataset.csv
LogNormalDimScaling,"[[-0.47936272621154785, -0.03664165735244751, 0.5086424350738525, -0.5119181871414185, -0.08450448513031006]]","[[-0.29328471422195435, -1.2381479740142822, -0.4798598289489746, -0.43382206559181213]]","[[0.006732821464538574, -0.2314094603061676, -0.03775596618652344, -0.02591884136199951]]","[[-0.3075069785118103, -0.22123098373413086, -0.6269883513450623, 0.3336758017539978, 0.25175046920776367]]","[[-0.5720181465148926, -0.4076428711414337, -0.6307525038719177]]"
LogNormal,"[[-0.48009392619132996, -0.11479830741882324, -0.04193234443664551, -0.5057592391967773, -0.872124433517456]]","[[-0.334469199180603, -1.3866312503814697, -0.4791382849216461, -0.4530317783355713]]","[[-0.036086440086364746, -0.2675841748714447, -0.067035973072052, -0.06070786714553833]]","[[-0.3356362283229828, -0.27243807911872864, -0.615216851234436, -0.2299116849899292, -0.28963184356689453]]","[[-0.5025072693824768, -0.41333818435668945, -0.5630609393119812]]"
Gamma,"[[0.8880940675735474, 0.8427470922470093, 1.3328485488891602, 6.035193920135498, 2.6080689430236816]]","[[1.8705060482025146, 0.18181753158569336, -0.28478971123695374, 0.692524254322052]]","[[1.303168773651123, 0.6057370901107788, 0.8452198505401611, 3.897047996520996]]","[[3.3852591514587402, 0.6879642009735107, 5.839901924133301, 4.172680377960205, 5.333377838134766]]","[[2.7656655311584473, 0.819186806678772, 6.273479461669922]]"
NormalPrior,"[[-0.3361818194389343, -0.20545953512191772, -0.2502727508544922, -0.3657331168651581, -1.3639028072357178]]","[[-0.4932149648666382, -1.5844581127166748, -0.3978622555732727, -0.4129728078842163]]","[[-0.22855228185653687, -0.2512895464897156, -0.16397440433502197, -0.18612134456634521]]","[[-0.20297515392303467, -0.22774630784988403, -0.22284677624702454, -0.40418946743011475, -0.5421804189682007]]","[[-0.2214604616165161, -0.25198987126350403, -0.2161547839641571]]"
