VarTGP,VarGP,ExactGP,Dataset
0.26445522904396057,0.3442843556404114,0.2940114140510559,AutoAM_dataset.csv
0.3468794822692871,0.42701131105422974,0.4097931981086731,AutoAM_dataset.csv
0.7518669366836548,0.7993127107620239,1.0239002704620361,AutoAM_dataset.csv
0.2714475393295288,0.3801562190055847,0.20618481934070587,AutoAM_dataset.csv
0.2701261639595032,0.34491872787475586,0.25244802236557007,AutoAM_dataset.csv
0.32909923791885376,0.38621407747268677,0.21583762764930725,AutoAM_dataset.csv
0.7447684407234192,0.7591909170150757,0.7398403882980347,AutoAM_dataset.csv
0.4465394616127014,0.5782860517501831,0.6695541143417358,AutoAM_dataset.csv
0.4766690135002136,0.44664937257766724,0.423098087310791,AutoAM_dataset.csv
0.23688197135925293,0.37257862091064453,0.1913796067237854,AutoAM_dataset.csv
0.1699639856815338,0.21783432364463806,0.1512933075428009,AutoAM_dataset.csv
0.28076863288879395,0.27553054690361023,0.2614971399307251,AutoAM_dataset.csv
0.7194429636001587,0.6662510633468628,0.36285704374313354,AutoAM_dataset.csv
0.16738680005073547,0.3064289689064026,0.23361153900623322,AutoAM_dataset.csv
0.3744351267814636,0.4329298436641693,1.2414004802703857,AutoAM_dataset.csv
