VarTGP,VarGP,ExactGP,Dataset
0.3607715964317322,0.38067570328712463,0.22941777110099792,AgNP_dataset.csv
0.33578890562057495,0.3517719507217407,0.27010393142700195,AgNP_dataset.csv
0.6492918729782104,0.614341676235199,0.573386013507843,AgNP_dataset.csv
0.5901883840560913,0.54317706823349,1.0907652378082275,AgNP_dataset.csv
0.4003312587738037,0.35526609420776367,0.4180823862552643,AgNP_dataset.csv
0.45594844222068787,0.29108506441116333,0.3960466980934143,AgNP_dataset.csv
0.31000685691833496,0.4583262503147125,0.5842798948287964,AgNP_dataset.csv
0.4827400743961334,0.3199309706687927,0.37269651889801025,AgNP_dataset.csv
0.43586811423301697,0.40734943747520447,1.0384002923965454,AgNP_dataset.csv
0.8251683115959167,0.7894206047058105,0.8906142115592957,AgNP_dataset.csv
0.221144437789917,0.5262466669082642,0.4764222502708435,AgNP_dataset.csv
0.2578512132167816,0.2843998670578003,0.25876063108444214,AgNP_dataset.csv
0.4034276604652405,0.49760499596595764,0.34494319558143616,AgNP_dataset.csv
0.2285773754119873,0.2886168360710144,0.32867032289505005,AgNP_dataset.csv
0.33343905210494995,0.4696446359157562,0.541009783744812,AgNP_dataset.csv
